ID,Alambre,D. Ext 1,D. Ext 2,Vueltas,D. Int 1,D. Int 2,Altura,Codigo_OSIS
278,13.5,101,-,9,-,65,324,12999
279,16,115,-,9.5,80,80,372,13085
280,13.5,131,-,6.75,-,-,385,13102
281,12.5,115,-,6.25,55,55,293,13116
282,13,140,-,5.5,116,101.5,336,13128
283,15,161.5,-,5.25,104,84,330,13136
284,12,108,-,10.5,-,75,420,13151
285,12,153,-,5.5,-,85,370,13157
286,14.5,141,-,6.25,51.7,51.7,277,13158
287,14.5,122,-,6.25,-,68,290,13198
288,17,147.5,-,5.5,-,77,302,13208
289,14.5,162.5,-,5.25,104,84,330,13209
290,12,122,-,7,-,71,335,13210
291,12.5,97,-,10.5,-,58,363,13223
292,10.5,103.5,-,8,55,55,314,13253
293,18,159,-,5.5,-,113,290,13264
294,13,120,-,8.375,-,61,366,13324
295,12,141,-,4.25,-,-,290,13340
296,12.5,100.5,-,9.25,-,65,326,13346
297,12.5,156.5,118,6.25,-,-,365,13415
298,13,101,-,9,61,-,323,13418
299,15,120,-,8.5,-,-,435,13420
300,16,147.5,-,5.25,-,78.5,294,13451
301,18,130.5,-,6.625,63,-,318,13457
302,11,111.5,-,6.25,56,56,300,13545
303,13.5,164.5,-,4.5,-,100,340,13634
304,13.5,140,-,6.875,46.5,46.5,314,13636
305,13.5,156.5,-,6.25,96.5,73,390,13702
306,12.5,157.5,-,5.375,115,100,360,13703
307,12.5,141,-,5.5,-,-,340,13706
308,11.5,113.5,-,6.625,56,56,294,13714
309,13,103,-,9,-,45,320,13715
310,13.5,112.5,-,8,-,50,352,13732
311,11.5,112.5,-,7.75,55,54,340,13785
312,14,142,-,7.125,-,79,356,13841
313,12.5,142,-,7.5,-,83,415,13872
314,14,154,-,5.875,-,-,368,13956
315,15,117,-,8,65,72,362,13957
316,17,126,-,9.5,-,-,363,13961
317,13.5,114,-,6.5,57,56,304,13987
318,17,202,-,6.625,-,-,495,14014
319,18,156,-,7.125,-,100.2,382,14016
320,11.5,103.5,-,9,75,45,342,14138
321,12,112,-,7,-,55,290,14201
322,13.5,110.5,-,7.625,61,-,312,14209
323,11.5,111.5,-,7.75,55,55,340,14232
324,15,164,-,5.375,85,-,373,14242
325,16,169,-,6.375,91,91,338,14243
326,13.5,125.5,-,9.25,-,-,396,14244
327,15,150,-,7.125,73,71,347,14246
328,14,177,-,5,-,-,401,14256
329,11.5,138.5,-,5.875,-,99,358,14258
330,9.5,103,-,7.25,54,54,313,14260
331,11,113,-,8.25,55,55,320,14262
332,13,163,-,4.75,103,84,331,14264
333,13,110,-,8.75,-,78,344,14312
334,13,122,-,8.25,64,64,345,14314
335,13,150,-,4.5,-,100,335,14315
336,15,128,-,6.5,-,-,330,14375
337,14,170,-,5.5,99,98,348,14421
338,14.5,176.5,-,4.625,-,-,338,14422
339,11,103,-,9.125,-,68,356,14423
340,12,151,-,6,-,85,370,14447
341,11,128,-,5.5,81,92,330,14472
342,14.5,167.5,-,5.25,-,-,340,14474
343,13,149,-,5.5,97,93,325,14475
344,12.5,131,-,6.25,100,62,380,14540
345,14.5,178,-,4,-,-,325,14567
346,15,124,-,6,-,68,285,14604
347,12.5,128,86,6.625,-,61,273,14608
348,12,130,-,5.625,84,81,310,14618
349,12.5,112.5,-,10,-,-,391,14663
350,11.5,103,-,12.25,-,-,366,14671
351,12,129,-,7.125,-,82,400,14913
352,14.5,111.5,-,7.5,-,73,337,14930
353,12.5,113,-,8.5,55,55,335,15157
354,14.5,158,-,5.75,-,-,376,15158
355,12.5,131,-,6.25,64,71,321,15251
356,17,144,-,6.5,42.5,60,317,15262
357,17,141,-,6.5,42.5,60,324,15263
358,12.5,104,-,6.75,-,46,315,15264
359,12,105,-,7.125,-,69.5,282,15330
360,14.5,141.5,-,5.375,-,78,310,15331
361,17,126,-,9.375,-,-,313,15333
362,14.5,175,-,5.125,-,101,328,15365
363,13.5,150,-,6,43.5,33,250,15464
364,17,166,-,5,115,100,318,15572
365,14.5,164,-,5.75,105,84,380,15593
366,14.5,151,-,5.5,95,90,368,15609
367,12,132,-,5.375,-,81,258,15631
368,12.5,137,-,6.75,-,77,375,15664
369,11.5,124.5,-,6.75,-,56,312,15734
370,13,102,-,8.5,82,45.5,331,15744
371,17,121.5,-,7.25,-,-,302,15902
372,19,152,-,6.625,-,-,381,16089
373,11.5,127.5,-,6.75,82,82,358,16103
374,11.5,113,-,7.25,-,54.5,305,16141
375,14,159.5,-,5.5,-,81.5,341,16155
376,13.5,135.5,-,5,61,44,272,16160
377,13,129,-,6.375,71,63,306,16192
378,12.5,141,-,5.25,83,83,320,16228
379,16,147,-,6.625,-,78.6,300,16241
380,14.5,145.5,-,5.25,-,-,292,16266
381,13,154,-,4.75,-,103,312,16326
382,13.5,154,-,5.375,-,103,326,16327
383,12,125,-,6.5,92,83,323,16342
384,16,145,-,5.25,-,77.5,295,16382
385,14,113,-,9.25,81.6,-,356,16441
386,14.5,176,-,5,105,99.5,375,16460
387,13,124,-,8,-,72,338,16469
388,17,148,-,6,-,77,305,16590
389,15,146,-,5.5,-,78,310,16646
390,13.5,135.5,-,6.375,118.5,99,378,16651
391,13.5,137,-,6.375,118.5,99,358,16653
392,10.5,109.5,-,8.5,54.5,54.5,322,16882
393,11,107,-,7.5,55.5,54.6,315,17134
394,13,135.5,-,6,60,43.5,267,17216
395,11.5,107,-,8,55.5,54.6,310,17218
396,15,116.5,-,8.125,-,50,315,17308
397,11,110.5,-,7.625,54,54,326,17470
398,11.5,112,-,8.25,54,54,330,17471
399,15,116.5,-,8.5,79.5,-,376,17557
400,11,104,-,9.25,-,-,334,17650
401,15,139,-,6.125,52,52,287,17685
402,12,113,-,7.875,-,54.5,303,17719
403,12,132,-,6.25,87,81,336,17725
404,18,115,-,10.5,64.5,-,370,17825
405,14,154.5,-,6.25,106,60.5,345,17909
406,11.5,112,-,8.25,54,54,338,17913
407,13,105.5,-,11,64,-,400,18174
408,16,117,-,7.375,-,50,309,18176
409,12,122,-,6.25,54.5,54.5,279,18346
410,13,162,-,4.75,108,102.5,336,18394
411,13,130,-,6,54,54,265,18845
412,12,128,-,6.125,81.5,91.5,345,18848
413,11.5,107,-,8.375,60,-,345,18967
414,13,137,-,6.25,116.5,99,345,19022
415,12.5,149,-,5,97,85,310,19100
416,14,175,-,5,97,92,367,19111
417,13,138,-,6.5,116,97.5,370,19173
418,13,114,-,5.75,58,58,317,19179
419,15,143,-,5.75,104,92,304,19550
420,12.5,164,-,4,136,103,340,19643
421,12,142,-,5.25,87,81,328,20033
422,11.5,145,-,4.75,95,90.5,346,20080
423,13,145,-,5.25,91,74,342,20154
424,12,116,-,7,58,52,373,20159
425,16,158.2,-,8.5,84.4,-,425,20775
426,13.5,125,-,6.375,105,59.5,307,21890
427,10.5,113,-,6.5,-,-,343,22040
428,12,145,,5.5,84,84,342,22152
429,12,115,-,8.875,55,55,365,22153
430,13,119,-,7.5,89,60,363,22283
431,13.5,119,-,8,89,60,356,22305
432,11.5,113,-,7.75,55,55,322,22583
433,12,126,-,6.125,54,54,289,22618
434,14.5,125,-,6,60,58,262,22619
435,12.5,131,102,8.25,-,-,336,22620
436,11.5,112,-,7.125,60.5,-,339,22703
437,13,166.5,-,4.75,101,84,370.5,22799
438,12,132,-,6.375,82,82,333,22811
439,12.5,104.5,-,7.125,57,57,261.5,22812
440,14.5,167,-,5.125,99,96,330,22821
441,14,115.5,-,7.125,-,49,330,22822
442,12.5,132,89,8.625,-,-,311.5,23162
443,12,120,-,8.875,54,54.5,380,Y000009670
444,13.5,131,-,6.375,54.5,54.5,263,Y999000074
445,12.5,149,-,5.625,90,90,322.5,Y999000479
446,17,111,-,11.625,66,-,385,Y999000483
447,11,101,-,11.625,-,63,370,Y999005121
448,11.5,112,-,9.5,45,-,333,Y999008249
449,13.5,131,-,9,-,-,372,Y999008545
450,11,112,-,7.5,75,80,285,Y999009841
451,12.5,123,-,6.625,-,69.3,275,Y999010324
452,14.5,148,144,5.25,-,-,269,452
453,12,113,-,8.5,-,54,315,453
454,14.5,186,115,7,-,-,366,454
